time,temperature_2m,relative_humidity_2m,wind_speed_10m,apparent_temperature
2026-09-07T00:00,25.9,77,5.4,29.8
2026-09-07T01:00,24.3,86,8.8,27.7
2026-09-07T02:00,22.4,94,13.9,24.9
2026-09-07T03:00,22.2,95,10.3,25.2
2026-09-07T04:00,22.8,95,6.1,26.7
2026-09-07T05:00,23.7,85,6.8,27.1
2026-09-07T06:00,23.8,86,9.9,26.9
2026-09-07T07:00,25.6,80,10.0,28.9
2026-09-07T08:00,27.2,71,13.2,29.9
2026-09-07T09:00,28.3,66,12.9,31.0
2026-09-07T10:00,29.4,62,11.6,32.7
2026-09-07T11:00,29.3,57,10.3,32.9
2026-09-07T12:00,30.0,57,9.5,32.7
2026-09-07T13:00,31.6,53,10.1,35.5
2026-09-07T14:00,32.0,51,12.0,35.5
2026-09-07T15:00,31.5,52,12.3,33.8
2026-09-07T16:00,31.1,53,11.1,33.5
2026-09-07T17:00,29.7,55,10.9,31.8
2026-09-07T18:00,28.9,59,8.5,31.5
2026-09-07T19:00,28.2,65,8.2,31.2
2026-09-07T20:00,27.7,68,5.6,31.4
2026-09-07T21:00,27.1,72,2.8,31.4
2026-09-07T22:00,27.0,75,0.9,31.9
2026-09-07T23:00,27.1,77,0.4,32.3
2026-09-08T00:00,26.8,77,0.8,31.8
2026-09-08T01:00,26.6,75,3.9,30.7
2026-09-08T02:00,26.1,74,8.7,29.2
2026-09-08T03:00,25.3,79,9.1,28.5
2026-09-08T04:00,24.9,80,9.8,28.0
2026-09-08T05:00,25.3,77,9.4,28.3
2026-09-08T06:00,25.3,76,11.9,27.8
2026-09-08T07:00,26.2,72,14.5,28.2
2026-09-08T08:00,27.6,65,16.8,29.2
2026-09-08T09:00,29.0,60,15.7,30.9
2026-09-08T10:00,30.2,56,14.5,33.1
2026-09-08T11:00,30.2,54,15.0,33.4
2026-09-08T12:00,31.0,52,15.4,34.3
2026-09-08T13:00,32.1,48,15.3,35.4
2026-09-08T14:00,31.8,48,15.2,33.8
2026-09-08T15:00,31.9,46,15.3,33.1
2026-09-08T16:00,31.5,47,15.4,32.4
2026-09-08T17:00,30.8,48,13.0,32.1
2026-09-08T18:00,29.7,51,9.9,31.4
2026-09-08T19:00,29.2,54,7.9,31.3
2026-09-08T20:00,28.4,58,7.9,30.8
2026-09-08T21:00,27.6,64,6.2,30.6
2026-09-08T22:00,26.9,69,7.8,30.0
2026-09-08T23:00,27.1,69,7.1,30.4
2026-09-09T00:00,26.5,70,3.6,30.2
2026-09-09T01:00,26.5,69,4.8,29.9
2026-09-09T02:00,26.2,70,5.8,29.3
2026-09-09T03:00,25.7,73,6.4,28.8
2026-09-09T04:00,25.2,75,8.4,28.1
2026-09-09T05:00,25.4,73,13.6,27.4
2026-09-09T06:00,25.0,75,14.5,26.8
2026-09-09T07:00,25.9,72,16.4,27.6
2026-09-09T08:00,27.2,67,16.5,28.9
2026-09-09T09:00,28.8,60,16.3,30.6
2026-09-09T10:00,30.0,57,15.2,32.9
2026-09-09T11:00,30.7,53,14.2,34.0
2026-09-09T12:00,31.5,51,12.1,35.7
2026-09-09T13:00,31.7,51,14.2,35.6
2026-09-09T14:00,28.6,67,15.0,31.8
2026-09-09T15:00,29.1,60,18.3,30.5
2026-09-09T16:00,29.5,60,14.1,31.7
2026-09-09T17:00,29.7,59,13.1,32.0
2026-09-09T18:00,28.7,63,12.4,31.2
2026-09-09T19:00,28.1,66,11.2,30.9
