time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,relative_humidity_2m_mean,wind_speed_10m_max,shortwave_radiation_sum
2024-01-01,27.7,15.4,21.4,70,10.8,18.13
2024-01-02,27.6,15.2,21.0,72,12.5,15.72
2024-01-03,27.2,17.5,21.8,70,14.5,16.95
2024-01-04,28.1,18.5,22.2,69,16.0,16.94
2024-01-05,27.8,17.1,21.5,68,16.0,18.03
2024-01-06,27.9,17.1,21.5,71,17.1,17.2
2024-01-07,27.3,17.5,21.4,69,17.4,16.86
2024-01-08,28.1,16.2,21.9,63,17.4,18.32
2024-01-09,28.9,17.4,22.3,60,19.2,18.19
2024-01-10,26.9,17.8,22.2,68,10.7,9.86
2024-01-11,30.1,19.8,24.3,57,11.1,18.18
2024-01-12,30.5,19.8,24.3,62,10.7,18.47
2024-01-13,31.1,18.6,24.9,62,9.2,16.61
2024-01-14,31.4,18.6,24.4,53,9.7,18.99
2024-01-15,31.2,18.3,24.1,55,10.5,18.28
2024-01-16,30.3,18.5,24.2,62,12.5,18.65
2024-01-17,30.3,17.5,23.8,64,18.2,18.28
2024-01-18,29.6,18.0,23.4,63,12.6,16.63
2024-01-19,30.2,18.0,23.9,61,13.9,16.01
2024-01-20,29.6,18.3,23.3,64,16.6,15.52
2024-01-21,30.5,18.6,24.1,62,13.2,18.13
2024-01-22,31.9,19.9,25.1,60,14.7,17.45
2024-01-23,31.7,20.2,25.4,62,16.6,18.6
2024-01-24,30.5,20.0,25.0,65,13.8,17.72
2024-01-25,29.3,18.9,23.5,67,11.5,14.91
2024-01-26,30.1,18.4,23.8,64,11.1,17.94
2024-01-27,29.5,18.1,23.1,68,12.1,17.43
2024-01-28,29.4,18.8,23.3,57,11.3,20.25
2024-01-29,29.6,16.3,22.6,63,12.0,19.28
2024-01-30,29.4,16.6,22.6,64,13.0,20.0
2024-01-31,31.0,16.7,23.3,56,16.0,19.13
2024-02-01,32.3,18.2,24.2,58,15.8,19.44
2024-02-02,31.9,19.1,25.1,61,10.8,19.18
2024-02-03,29.6,19.8,24.7,69,13.5,17.56
2024-02-04,31.4,19.3,25.6,60,11.6,20.11
2024-02-05,33.2,19.4,26.0,60,11.8,19.87
